Entrez ID	Type
3640	best inferred
259266	best inferred
2306	best inferred
3638	landmark
4969	best inferred
2305	best inferred
2304	best inferred
2303	best inferred
2302	best inferred
3631	best inferred
3632	best inferred
3633	best inferred
2309	landmark
3635	best inferred
2308	best inferred
3636	best inferred
4967	best inferred
4968	best inferred
4982	best inferred
2317	best inferred
2316	best inferred
2	best inferred
2315	best inferred
2314	best inferred
2313	best inferred
2312	best inferred
9	best inferred
3642	best inferred
4973	best inferred
3643	best inferred
4974	best inferred
4976	best inferred
3646	best inferred
2319	best inferred
4978	best inferred
2318	best inferred
3660	best inferred
3661	best inferred
3662	best inferred
1000	best inferred
2331	best inferred
2330	best inferred
2328	best inferred
2327	best inferred
2326	best inferred
2324	best inferred
2323	best inferred
2322	best inferred
2321	best inferred
3652	best inferred
3653	best inferred
3654	best inferred
3655	best inferred
4987	best inferred
3658	best inferred
2329	best inferred
3659	best inferred
3671	best inferred
3672	best inferred
3673	best inferred
1008	best inferred
2339	best inferred
1007	best inferred
1006	best inferred
1004	best inferred
2335	best inferred
1003	best inferred
1002	best inferred
1001	landmark
2332	best inferred
3663	best inferred
3664	best inferred
3665	best inferred
3667	best inferred
4998	landmark
4999	best inferred
3669	best inferred
1009	best inferred
3680	best inferred
3682	landmark
3683	best inferred
3684	best inferred
1022	landmark
2353	landmark
1021	landmark
2352	best inferred
1020	best inferred
2350	best inferred
1019	landmark
1018	best inferred
1017	landmark
2348	best inferred
1016	best inferred
1014	best inferred
1013	best inferred
1012	best inferred
3675	best inferred
3676	best inferred
3678	best inferred
3679	best inferred
3690	best inferred
3691	best inferred
3692	best inferred
3693	landmark
3694	best inferred
3695	best inferred
1033	best inferred
1032	best inferred
1031	best inferred
1030	best inferred
285527	best inferred
1029	landmark
1028	best inferred
2359	best inferred
1027	landmark
2358	best inferred
1026	landmark
2357	best inferred
1025	best inferred
2356	landmark
1024	best inferred
2355	best inferred
2354	best inferred
3685	best inferred
3687	best inferred
3688	best inferred
3689	best inferred
728498	best inferred
1043	best inferred
1040	best inferred
